Date,Clicks,Impressions,CTR,Position
2026-08-17,5,3207,0.16%,61.5
2026-08-18,0,169,0%,68.7
2026-08-19,1,152,0.66%,66.8
2026-08-20,0,275,0%,28.7
2026-08-21,0,355,0%,21
2026-08-22,0,82,0%,65
2026-08-23,0,52,0%,65.2
2026-08-24,0,17,0%,67.2
